set,index,points,current,huffman9,default6,default1,all27,padding,best,payloadBytes,mode,escapes,noCRC_UNSAFE,noHeader_NEW_VERSION,noFrame_UNSAFE,byteWinner,deltaSemanticBytes
prefix5,23,5,29,29,29,29,29,29,current,21,0,0,27,28,25,29,19
prefix10,23,10,43,43,43,43,43,43,current,32,0,0,40,41,39,43,34
full,24,25,72,72,72,72,72,72,current,56,0,0,70,71,68,72,79
prefix1,24,1,14,14,14,14,14,14,current,9,0,0,12,13,11,14,7
prefix2,24,2,18,18,18,18,18,18,current,12,0,0,16,17,14,18,10
prefix3,24,3,21,21,21,21,21,21,current,14,0,0,18,19,17,21,13
prefix5,24,5,26,26,26,26,26,26,current,18,0,0,23,24,22,26,19
prefix10,24,10,36,36,36,36,36,36,current,27,0,0,34,35,33,36,34
full,25,3,21,21,21,21,21,21,current,14,0,0,18,19,17,21,13
prefix1,25,1,14,14,14,14,14,14,current,9,0,0,12,13,10,14,7
prefix2,25,2,18,18,18,18,18,18,current,12,0,0,16,17,14,18,10
prefix3,25,3,21,21,21,21,21,21,current,14,0,0,18,19,17,21,13
full,26,15,39,39,39,39,39,39,current,29,0,0,36,38,35,39,49
prefix1,26,1,14,14,14,14,14,14,current,9,0,0,12,13,11,14,7
prefix2,26,2,18,18,18,18,18,18,current,12,0,0,16,17,14,18,10
prefix3,26,3,19,19,19,19,19,19,current,13,0,0,17,18,16,19,13
prefix5,26,5,22,22,22,22,22,22,current,15,0,0,19,21,18,22,19
prefix10,26,10,30,30,30,30,30,30,current,22,0,0,28,29,27,30,34
full,27,13,50,50,50,50,50,50,current,38,0,0,47,49,46,50,44
prefix1,27,1,16,16,16,16,16,16,current,10,0,0,13,14,12,16,8
prefix2,27,2,19,19,19,19,19,19,current,13,0,0,17,18,16,19,11
prefix3,27,3,22,22,22,22,22,22,current,15,0,0,19,21,18,22,14
prefix5,27,5,28,28,28,28,28,28,current,20,0,0,25,27,24,28,20
prefix10,27,10,40,40,40,40,40,40,current,30,0,0,38,39,37,40,35
full,28,41,104,104,104,104,104,104,current,82,0,0,102,103,100,104,127
prefix1,28,1,14,14,14,14,14,14,current,9,0,0,12,13,11,14,7
prefix2,28,2,18,18,18,18,18,18,current,12,0,0,16,17,14,18,10
prefix3,28,3,19,19,19,19,19,19,current,13,0,0,17,18,16,19,13
prefix5,28,5,26,26,26,26,26,26,current,18,0,0,23,24,22,26,19
prefix10,28,10,38,38,38,38,38,38,current,28,0,0,35,37,34,38,34
full,29,25,90,90,90,90,90,90,current,70,0,0,87,88,86,90,80
prefix1,29,1,14,14,14,14,14,14,current,9,0,0,12,13,11,14,7
