set,index,points,current,huffman9,default6,default1,all27,padding,best,payloadBytes,mode,escapes,noCRC_UNSAFE,noHeader_NEW_VERSION,noFrame_UNSAFE,byteWinner,deltaSemanticBytes
prefix1,123,1,14,14,14,14,14,14,current,9,0,0,12,13,11,14,7
prefix2,123,2,19,19,19,19,19,19,current,13,0,0,17,18,16,19,10
prefix3,123,3,21,21,21,21,21,21,current,14,0,0,18,19,17,21,13
prefix5,123,5,28,28,28,28,28,28,current,20,0,0,25,27,24,28,19
prefix10,123,10,40,40,40,40,40,40,current,30,0,0,38,39,37,40,34
full,124,94,288,288,288,288,288,288,current,231,0,0,285,286,284,288,303
prefix1,124,1,16,16,16,16,16,16,current,10,0,0,13,15,12,16,8
prefix2,124,2,21,21,21,21,21,21,current,14,0,0,18,19,17,21,11
prefix3,124,3,23,23,23,23,23,23,current,16,0,0,21,22,19,23,14
prefix5,124,5,29,29,29,29,29,29,current,21,0,0,27,28,25,29,20
prefix10,124,10,44,44,44,44,44,44,current,33,0,0,42,43,40,44,36
full,125,21,65,65,65,65,65,65,current,50,0,0,62,64,61,65,67
prefix1,125,1,14,14,14,14,14,14,current,9,0,0,12,13,11,14,7
prefix2,125,2,19,19,19,19,19,19,current,13,0,0,17,18,16,19,10
prefix3,125,3,22,22,22,22,22,22,current,15,0,0,19,21,18,22,13
prefix5,125,5,26,26,26,26,26,26,current,18,0,0,23,24,22,26,19
prefix10,125,10,39,39,39,39,39,39,current,29,0,0,37,38,35,39,34
full,126,27,73,73,73,73,73,73,current,57,0,0,71,72,70,73,85
prefix1,126,1,14,14,14,14,14,14,current,9,0,0,12,13,11,14,7
prefix2,126,2,19,19,19,19,19,19,current,13,0,0,17,18,16,19,10
prefix3,126,3,22,22,22,22,22,22,current,15,0,0,19,21,18,22,13
prefix5,126,5,24,24,24,24,24,24,current,17,0,0,22,23,21,24,19
prefix10,126,10,35,35,35,35,35,35,current,26,0,0,33,34,32,35,34
full,127,16,60,60,60,60,60,60,current,46,0,0,57,58,56,60,53
prefix1,127,1,14,14,14,14,14,14,current,9,0,0,12,13,11,14,7
prefix2,127,2,20,20,20,20,20,20,current,13,0,1,17,18,16,20,10
prefix3,127,3,22,22,22,22,22,22,current,15,0,0,19,21,18,22,13
prefix5,127,5,27,27,27,27,27,27,current,19,0,0,24,26,23,27,19
prefix10,127,10,43,43,43,43,43,43,current,32,0,0,40,42,39,43,34
full,128,10,39,39,39,39,39,39,current,29,0,0,37,38,35,39,35
prefix1,128,1,16,16,16,16,16,16,current,10,0,0,13,14,12,16,8
prefix2,128,2,21,21,21,21,21,21,current,14,0,0,18,19,17,21,11
prefix3,128,3,23,23,23,23,23,23,current,16,0,0,21,22,19,23,14
prefix5,128,5,28,28,28,28,28,28,current,20,0,0,26,27,24,28,20
prefix10,128,10,39,39,39,39,39,39,current,29,0,0,37,38,35,39,35
full,129,8,37,37,37,37,37,37,current,27,0,0,34,35,33,37,29
prefix1,129,1,16,16,16,16,16,16,current,10,0,0,13,14,12,16,8
prefix2,129,2,21,21,21,21,21,21,current,14,0,0,18,19,17,21,11
prefix3,129,3,23,23,23,23,23,23,current,16,0,0,21,22,19,23,14
prefix5,129,5,28,28,28,28,28,28,current,20,0,0,26,27,24,28,20
full,130,27,80,80,80,80,80,80,current,62,0,0,77,79,76,80,95
prefix1,130,1,14,14,14,14,14,14,current,9,0,0,12,13,11,14,7
prefix2,130,2,19,19,19,19,19,19,current,13,0,0,17,18,16,19,10
prefix3,130,3,22,22,22,22,22,22,current,15,0,0,19,21,18,22,13
prefix5,130,5,27,27,27,27,27,27,current,19,0,0,24,26,23,27,20
prefix10,130,10,41,41,41,41,41,41,current,30,0,1,39,39,37,41,38
full,131,30,75,75,75,75,75,75,current,58,0,0,72,73,71,75,94
prefix1,131,1,15,15,15,15,15,15,current,9,0,0,12,13,11,15,7
prefix2,131,2,19,19,19,19,19,19,current,13,0,0,17,18,16,19,10
prefix3,131,3,21,21,21,21,21,21,current,14,0,0,18,19,17,21,13
prefix5,131,5,23,23,23,23,23,23,current,16,0,0,21,22,19,23,19
prefix10,131,10,34,34,34,34,34,34,current,25,0,0,32,33,30,34,34
full,132,26,58,58,58,58,58,58,current,44,0,0,55,56,54,58,83
prefix1,132,1,16,16,16,16,16,16,current,10,0,0,13,14,12,16,8
prefix2,132,2,19,19,19,19,19,19,current,13,0,0,17,18,16,19,11
prefix3,132,3,21,21,21,21,21,21,current,14,0,0,18,19,17,21,14
prefix5,132,5,23,23,23,23,23,23,current,16,0,0,21,22,19,23,20
prefix10,132,10,32,32,32,32,32,32,current,23,0,0,29,30,28,32,35
full,133,30,75,75,75,75,75,75,current,58,0,0,72,73,71,75,94
prefix1,133,1,14,14,14,14,14,14,current,9,0,0,12,13,11,14,7
prefix2,133,2,19,19,19,19,19,19,current,13,0,0,17,18,15,19,10
prefix3,133,3,21,21,21,21,21,21,current,14,0,0,18,19,17,21,13
prefix5,133,5,24,24,24,24,24,24,current,17,0,0,22,23,20,24,19
prefix10,133,10,33,33,33,33,33,33,current,24,0,0,30,32,29,33,34
full,134,37,132,132,132,132,132,132,current,105,0,0,130,131,129,132,129
prefix1,134,1,14,14,14,14,14,14,current,9,0,0,12,13,11,14,7
prefix2,134,2,19,19,19,19,19,19,current,13,0,0,17,18,16,19,10
prefix3,134,3,23,23,23,23,23,23,current,16,0,0,21,22,19,23,14
prefix5,134,5,31,31,31,31,31,31,current,22,0,0,28,29,27,31,22
prefix10,134,10,46,46,46,46,46,46,current,35,0,0,44,45,43,46,38
full,135,8,35,35,35,35,35,35,current,26,0,0,33,34,31,35,29
prefix1,135,1,16,16,16,16,16,16,current,10,0,0,13,14,12,16,8
prefix2,135,2,21,21,21,21,21,21,current,14,0,0,18,19,17,21,11
prefix3,135,3,23,23,23,23,23,23,current,16,0,0,21,21,19,23,14
prefix5,135,5,28,28,28,28,28,28,current,20,0,0,26,26,24,28,20
full,136,26,62,62,62,62,62,62,current,48,0,0,60,61,59,62,82
prefix1,136,1,15,15,15,15,15,15,current,9,0,0,12,13,11,15,7
prefix2,136,2,18,18,18,18,18,18,current,12,0,0,16,17,14,18,10
prefix3,136,3,19,19,19,19,19,19,current,13,0,0,17,18,16,19,13
prefix5,136,5,24,24,24,24,24,24,current,17,0,0,22,23,20,24,19
prefix10,136,10,33,33,33,33,33,33,current,24,0,0,30,32,29,33,34
full,137,46,135,135,135,135,135,135,current,107,0,0,132,135,132,135,142
prefix1,137,1,14,14,14,14,14,14,current,9,0,0,12,13,11,14,7
prefix2,137,2,18,18,18,18,18,18,current,12,0,0,16,17,14,18,10
prefix3,137,3,21,21,21,21,21,21,current,14,0,0,18,19,17,21,13
prefix5,137,5,27,27,27,27,27,27,current,19,0,0,24,25,23,27,19
prefix10,137,10,39,39,39,39,39,39,current,29,0,0,37,38,35,39,34
full,138,14,61,61,61,61,61,61,current,47,0,0,59,60,57,61,55
prefix1,138,1,15,15,15,15,15,15,current,9,0,0,12,13,11,15,7
prefix2,138,2,19,19,19,19,19,19,current,13,0,0,17,18,16,19,10
prefix3,138,3,23,23,23,23,23,23,current,16,0,0,21,22,19,23,13
prefix5,138,5,31,31,31,31,31,31,current,22,0,0,28,29,27,31,21
prefix10,138,10,49,49,49,49,49,49,current,37,0,0,46,48,45,49,41
full,139,47,144,144,144,144,144,144,current,114,0,0,141,142,140,144,145
prefix1,139,1,14,14,14,14,14,14,current,9,0,0,12,13,11,14,7
prefix2,139,2,18,18,18,18,18,18,current,12,0,0,16,17,14,18,10
prefix3,139,3,22,22,22,22,22,22,current,15,0,0,19,21,18,22,13
prefix5,139,5,26,26,26,26,26,26,current,18,0,0,23,24,22,26,19
prefix10,139,10,39,39,39,39,39,39,current,29,0,0,37,38,35,39,34
full,140,23,58,58,58,58,58,58,current,45,0,0,56,58,56,58,74
prefix1,140,1,16,16,16,16,16,16,current,10,0,0,13,14,12,16,8
prefix2,140,2,20,20,20,20,20,20,current,14,0,0,18,19,16,20,11
prefix3,140,3,22,22,22,22,22,22,current,15,0,0,19,20,18,22,14
prefix5,140,5,27,27,27,27,27,27,current,19,0,0,24,25,23,27,20
prefix10,140,10,35,35,35,35,35,35,current,26,0,0,33,34,31,35,35
full,141,1000,2032,2032,2032,2032,2032,2032,current,1648,1,2,2030,2029,2027,2032,3005
prefix1,141,1,14,14,14,14,14,14,current,9,0,0,12,13,10,14,7
prefix2,141,2,19,19,19,19,19,19,current,13,0,0,17,18,15,19,10
prefix3,141,3,22,22,22,22,22,22,current,15,0,0,19,20,18,22,13
prefix5,141,5,24,24,24,24,24,24,current,17,0,0,22,23,20,24,19
prefix10,141,10,35,35,35,35,35,35,current,26,0,0,33,35,32,35,34
full,142,5000,10266,10266,10266,10266,10266,10266,current,8344,1,3,10264,10264,10262,10266,15014
prefix1,142,1,15,15,15,15,15,15,current,9,0,0,12,13,11,15,7
prefix2,142,2,18,18,18,18,18,18,current,12,0,0,16,17,14,18,10
prefix3,142,3,21,21,21,21,21,21,current,14,0,0,18,19,17,21,13
prefix5,142,5,26,26,26,26,26,26,current,18,0,0,23,24,22,26,19
prefix10,142,10,35,35,35,35,35,35,current,26,0,0,33,34,32,35,34
full,143,5000,10338,10338,10338,10338,10337,10337,L4S1,8400,1,4,10336,10334,10332,10338,15005
prefix1,143,1,15,15,15,15,15,15,current,9,0,0,12,13,11,15,7
prefix2,143,2,19,19,19,19,19,19,current,13,0,0,17,18,16,19,10
prefix3,143,3,21,21,21,21,21,21,current,14,0,0,18,19,17,21,13
prefix5,143,5,26,26,26,26,26,26,current,18,0,0,23,24,22,26,19
prefix10,143,10,35,35,35,35,35,35,current,26,0,0,33,34,32,35,34
full,144,3,21,21,21,21,21,21,current,14,0,0,18,19,17,21,13
prefix1,144,1,14,14,14,14,14,14,current,9,0,0,12,13,11,14,7
prefix2,144,2,19,19,19,19,19,19,current,13,0,0,17,18,16,19,10
prefix3,144,3,21,21,21,21,21,21,current,14,0,0,18,19,17,21,13
full,145,5,29,29,29,29,29,29,current,21,0,0,27,28,25,29,19
prefix1,145,1,15,15,15,15,15,15,current,9,0,0,12,13,11,15,7
prefix2,145,2,19,19,19,19,19,19,current,13,0,0,17,18,16,19,10
prefix3,145,3,23,23,23,23,23,23,current,16,0,0,21,22,19,23,13
prefix5,145,5,29,29,29,29,29,29,current,21,0,0,27,28,25,29,19
full,146,27,71,71,71,71,71,71,current,55,0,0,68,70,67,71,85
prefix1,146,1,14,14,14,14,14,14,current,9,0,0,12,13,11,14,7
prefix2,146,2,19,19,19,19,19,19,current,13,0,0,17,18,16,19,10
prefix3,146,3,21,21,21,21,21,21,current,14,0,0,18,19,17,21,13
prefix5,146,5,24,24,24,24,24,24,current,17,0,0,22,23,21,24,19
prefix10,146,10,35,35,35,35,35,35,current,26,0,0,33,34,32,35,34
full,147,46,128,128,128,128,128,128,current,101,0,0,125,126,124,128,143
prefix1,147,1,16,16,16,16,16,16,current,10,0,0,13,14,12,16,8
prefix2,147,2,21,21,21,21,21,21,current,14,0,0,18,19,17,21,11
prefix3,147,3,23,23,23,23,23,23,current,16,0,0,21,22,19,23,14
prefix5,147,5,28,28,28,28,28,28,current,20,0,0,26,27,24,28,20
prefix10,147,10,40,40,40,40,40,40,current,30,0,0,38,39,37,40,35
full,148,29,71,71,71,71,71,71,current,55,0,0,69,70,67,71,91
prefix1,148,1,15,15,15,15,15,15,current,9,0,0,12,13,11,15,7
prefix2,148,2,19,19,19,19,19,19,current,13,0,0,17,18,16,19,10
prefix3,148,3,21,21,21,21,21,21,current,14,0,0,18,19,17,21,13
prefix5,148,5,24,24,24,24,24,24,current,17,0,0,22,23,20,24,19
prefix10,148,10,34,34,34,34,34,34,current,25,0,0,32,33,30,34,34
full,149,24,60,60,60,60,60,60,current,46,0,0,58,59,56,60,76
prefix1,149,1,14,14,14,14,14,14,current,9,0,0,12,13,11,14,7
prefix2,149,2,19,19,19,19,19,19,current,13,0,0,17,18,16,19,10
prefix3,149,3,21,21,21,21,21,21,current,14,0,0,18,19,17,21,13
prefix5,149,5,24,24,24,24,24,24,current,17,0,0,22,23,21,24,19
prefix10,149,10,33,33,33,33,33,33,current,24,0,0,30,32,29,33,34
full,150,23,70,70,70,70,70,70,current,54,0,0,67,68,66,70,74
prefix1,150,1,16,16,16,16,16,16,current,10,0,0,13,14,12,16,8
prefix2,150,2,19,19,19,19,19,19,current,13,0,0,17,18,15,19,11
prefix3,150,3,22,22,22,22,22,22,current,15,0,0,19,20,18,22,14
prefix5,150,5,27,27,27,27,27,27,current,19,0,0,24,25,23,27,20
prefix10,150,10,36,36,36,36,36,36,current,27,0,0,34,35,33,36,35
full,151,20,66,66,66,66,66,66,current,51,0,0,64,65,62,66,64
prefix1,151,1,15,15,15,15,15,15,current,9,0,0,12,13,11,15,7
prefix2,151,2,19,19,19,19,19,19,current,13,0,0,17,18,15,19,10
prefix3,151,3,22,22,22,22,22,22,current,15,0,0,19,21,18,22,13
prefix5,151,5,27,27,27,27,27,27,current,19,0,0,24,25,23,27,19
prefix10,151,10,40,40,40,40,40,40,current,30,0,0,38,39,36,40,34
full,152,57,153,153,153,153,153,153,current,122,0,0,151,152,149,153,176
prefix1,152,1,16,16,16,16,16,16,current,10,0,0,13,14,12,16,8
prefix2,152,2,21,21,21,21,21,21,current,14,0,0,18,19,17,21,11
prefix3,152,3,22,22,22,22,22,22,current,15,0,0,19,20,18,22,14
prefix5,152,5,27,27,27,27,27,27,current,19,0,0,24,25,23,27,20
prefix10,152,10,40,40,40,40,40,40,current,30,0,0,38,39,36,40,35
full,153,30,108,108,108,108,108,108,current,85,0,0,105,107,104,108,101
prefix1,153,1,15,15,15,15,15,15,current,9,0,0,12,13,11,15,7
prefix2,153,2,19,19,19,19,19,19,current,13,0,0,17,18,16,19,10
prefix3,153,3,23,23,23,23,23,23,current,16,0,0,21,22,19,23,13
prefix5,153,5,29,29,29,29,29,29,current,21,0,0,27,28,26,29,19
prefix10,153,10,45,45,45,45,45,45,current,34,0,0,43,44,42,45,36
full,154,17,53,53,53,53,53,53,current,40,0,0,50,51,49,53,55
prefix1,154,1,15,15,15,15,15,15,current,9,0,0,12,13,11,15,7
prefix2,154,2,18,18,18,18,18,18,current,12,0,0,16,17,14,18,10
prefix3,154,3,21,21,21,21,21,21,current,14,0,0,18,19,17,21,13
prefix5,154,5,24,24,24,24,24,24,current,17,0,0,22,23,21,24,19
prefix10,154,10,35,35,35,35,35,35,current,26,0,0,33,34,32,35,34
full,155,27,65,65,65,65,65,65,current,50,0,0,62,64,61,65,85
prefix1,155,1,14,14,14,14,14,14,current,9,0,0,12,13,11,14,7
prefix2,155,2,19,19,19,19,19,19,current,13,0,0,17,18,16,19,10
prefix3,155,3,21,21,21,21,21,21,current,14,0,0,18,19,17,21,13
prefix5,155,5,24,24,24,24,24,24,current,17,0,0,22,23,20,24,19
prefix10,155,10,34,34,34,34,34,34,current,25,0,0,32,33,30,34,34
full,156,13,49,49,49,49,49,49,current,37,0,0,46,48,45,49,44
prefix1,156,1,15,15,15,15,15,15,current,10,0,0,13,14,12,15,8
prefix2,156,2,19,19,19,19,19,19,current,13,0,0,17,18,16,19,11
prefix3,156,3,22,22,22,22,22,22,current,15,0,0,19,21,18,22,14
prefix5,156,5,27,27,27,27,27,27,current,19,0,0,24,26,23,27,20
prefix10,156,10,40,40,40,40,40,40,current,30,0,0,38,39,37,40,35
full,157,26,64,64,64,64,64,64,current,49,0,0,61,62,60,64,82
prefix1,157,1,14,14,14,14,14,14,current,9,0,0,12,13,11,14,7
prefix2,157,2,19,19,19,19,19,19,current,13,0,0,17,18,16,19,10
prefix3,157,3,21,21,21,21,21,21,current,14,0,0,18,19,17,21,13
prefix5,157,5,24,24,24,24,24,24,current,17,0,0,22,23,20,24,19
prefix10,157,10,33,33,33,33,33,33,current,24,0,0,31,32,29,33,34
full,158,20,87,87,87,87,87,87,current,68,0,0,85,86,83,87,82
prefix1,158,1,14,14,14,14,14,14,current,9,0,0,12,13,11,14,7
prefix2,158,2,21,21,21,21,21,21,current,14,0,0,18,19,17,21,11
prefix3,158,3,24,24,24,24,24,24,current,17,0,0,22,23,21,24,15
prefix5,158,5,33,33,33,33,33,33,current,24,0,0,30,32,29,33,23
prefix10,158,10,50,50,50,50,50,50,current,38,0,0,48,49,46,50,43
full,159,3,22,22,22,22,22,22,current,15,0,0,19,21,18,22,13
prefix1,159,1,14,14,14,14,14,14,current,9,0,0,12,13,11,14,7
prefix2,159,2,19,19,19,19,19,19,current,13,0,0,17,18,16,19,10
prefix3,159,3,22,22,22,22,22,22,current,15,0,0,19,21,18,22,13
full,160,17,59,59,59,59,59,59,current,45,0,0,56,57,55,59,55
prefix1,160,1,14,14,14,14,14,14,current,9,0,0,12,13,11,14,7
prefix2,160,2,19,19,19,19,19,19,current,13,0,0,17,18,16,19,10
prefix3,160,3,22,22,22,22,22,22,current,15,0,0,19,21,18,22,13
prefix5,160,5,27,27,27,27,27,27,current,19,0,0,24,26,23,27,19
prefix10,160,10,42,42,42,42,42,42,current,31,0,0,39,40,38,42,34
full,161,109,301,301,301,301,301,301,current,242,0,0,299,300,298,301,332
prefix1,161,1,16,16,16,16,16,16,current,10,0,0,13,14,12,16,8
prefix2,161,2,21,21,21,21,21,21,current,14,0,0,18,19,17,21,11
prefix3,161,3,22,22,22,22,22,22,current,15,0,0,19,21,18,22,14
prefix5,161,5,28,28,28,28,28,28,current,20,0,0,26,27,24,28,20
prefix10,161,10,40,40,40,40,40,40,current,30,0,0,38,39,37,40,35
full,162,47,133,133,133,133,133,133,current,105,0,0,130,131,129,133,146
prefix1,162,1,16,16,16,16,16,16,current,10,0,0,13,14,12,16,8
prefix2,162,2,19,19,19,19,19,19,current,13,0,0,17,18,16,19,11
prefix3,162,3,20,20,20,20,20,20,current,14,0,0,18,19,17,20,14
prefix5,162,5,28,28,28,28,28,28,current,20,0,0,26,27,24,28,20
prefix10,162,10,40,40,40,40,40,40,current,29,0,1,38,38,35,40,35
full,163,27,76,76,76,76,76,76,current,59,0,0,73,75,72,76,85
prefix1,163,1,14,14,14,14,14,14,current,9,0,0,12,13,11,14,7
prefix2,163,2,18,18,18,18,18,18,current,12,0,0,16,17,14,18,10
prefix3,163,3,19,19,19,19,19,19,current,13,0,0,17,18,16,19,13
prefix5,163,5,25,25,25,25,25,25,current,18,0,0,23,24,22,25,19
prefix10,163,10,37,37,37,37,37,37,current,27,0,0,34,35,33,37,34
full,164,14,49,49,49,49,49,49,current,37,0,0,46,48,45,49,46
prefix1,164,1,14,14,14,14,14,14,current,9,0,0,12,13,11,14,7
prefix2,164,2,19,19,19,19,19,19,current,13,0,0,17,18,16,19,10
prefix3,164,3,21,21,21,21,21,21,current,14,0,0,18,19,17,21,13
prefix5,164,5,27,27,27,27,27,27,current,19,0,0,24,26,23,27,19
prefix10,164,10,39,39,39,39,39,39,current,29,0,0,37,38,35,39,34
full,165,71,232,232,232,232,232,232,current,186,0,0,230,231,228,232,237
prefix1,165,1,15,15,15,15,15,15,current,9,0,0,12,13,11,15,7
prefix2,165,2,19,19,19,19,19,19,current,13,0,0,17,18,16,19,11
prefix3,165,3,23,23,23,23,23,23,current,16,0,0,21,22,19,23,14
prefix5,165,5,29,29,29,29,29,29,current,21,0,0,27,28,26,29,20
prefix10,165,10,44,44,44,44,44,44,current,33,0,0,42,43,40,44,35
full,166,141,384,384,384,384,384,384,current,309,0,0,381,382,380,384,429
prefix1,166,1,16,16,16,16,16,16,current,10,0,0,13,14,12,16,8
prefix2,166,2,21,21,21,21,21,21,current,14,0,0,18,19,17,21,11
prefix3,166,3,23,23,23,23,23,23,current,16,0,0,21,22,19,23,14
prefix5,166,5,27,27,27,27,27,27,current,19,0,0,24,26,23,27,20
prefix10,166,10,40,40,40,40,40,40,current,30,0,0,38,39,37,40,35
full,167,17,59,59,59,59,59,59,current,45,0,0,56,58,55,59,55
prefix1,167,1,14,14,14,14,14,14,current,9,0,0,12,13,11,14,7
prefix2,167,2,19,19,19,19,19,19,current,13,0,0,17,18,16,19,10
prefix3,167,3,22,22,22,22,22,22,current,15,0,0,19,21,18,22,13
prefix5,167,5,27,27,27,27,27,27,current,19,0,0,24,26,23,27,19
prefix10,167,10,39,39,39,39,39,39,current,29,0,0,37,38,35,39,34
full,168,25,61,61,61,61,61,61,current,47,0,0,59,60,57,61,79
prefix1,168,1,14,14,14,14,14,14,current,9,0,0,12,13,11,14,7
prefix2,168,2,19,19,19,19,19,19,current,13,0,0,17,18,16,19,10
prefix3,168,3,21,21,21,21,21,21,current,14,0,0,18,19,17,21,13
prefix5,168,5,24,24,24,24,24,24,current,17,0,0,22,23,20,24,19
prefix10,168,10,33,33,33,33,33,33,current,24,0,0,30,32,29,33,34
full,169,32,92,92,92,92,92,92,current,72,0,0,89,91,88,92,115
prefix1,169,1,15,15,15,15,15,15,current,9,0,0,12,13,11,15,7
prefix2,169,2,19,19,19,19,19,19,current,13,0,0,17,18,16,19,10
prefix3,169,3,23,23,23,23,23,23,current,16,0,0,21,22,19,23,14
prefix5,169,5,27,27,27,27,27,27,current,19,0,0,24,25,23,27,20
prefix10,169,10,39,39,39,39,39,39,current,29,0,0,37,38,35,39,37
full,170,111,257,257,257,257,257,257,current,206,0,0,254,255,253,257,337
prefix1,170,1,15,15,15,15,15,15,current,9,0,0,12,13,11,15,7
prefix2,170,2,19,19,19,19,19,19,current,13,0,0,17,18,16,19,10
prefix3,170,3,21,21,21,21,21,21,current,14,0,0,18,19,17,21,13
prefix5,170,5,23,23,23,23,23,23,current,16,0,0,21,22,19,23,19
prefix10,170,10,35,35,35,35,35,35,current,26,0,0,33,34,32,35,34
full,171,46,163,163,163,163,163,163,current,130,0,0,161,162,160,163,158
prefix1,171,1,14,14,14,14,14,14,current,9,0,0,12,13,11,14,7
prefix2,171,2,21,21,21,21,21,21,current,14,0,0,18,19,17,21,11
prefix3,171,3,23,23,23,23,23,23,current,16,0,0,21,22,19,23,14
prefix5,171,5,30,30,30,30,30,30,current,22,0,0,28,29,27,30,21
prefix10,171,10,47,47,47,47,47,47,current,35,0,1,45,45,43,47,38
full,172,29,99,99,99,99,99,99,current,78,0,0,97,98,95,99,91
prefix1,172,1,14,14,14,14,14,14,current,9,0,0,12,13,11,14,7
prefix2,172,2,19,19,19,19,19,19,current,13,0,0,17,18,16,19,10
prefix3,172,3,23,23,23,23,23,23,current,16,0,0,21,22,19,23,13
prefix5,172,5,29,29,29,29,29,29,current,21,0,0,27,28,25,29,19
prefix10,172,10,45,45,45,45,45,45,current,34,0,0,43,44,41,45,34
full,173,8,43,43,43,43,43,43,current,32,0,0,40,42,39,43,37
prefix1,173,1,14,14,14,14,14,14,current,9,0,0,12,13,11,14,7
prefix2,173,2,19,19,19,19,19,19,current,13,0,0,17,18,16,19,11
prefix3,173,3,23,23,23,23,23,23,current,16,0,0,21,22,19,23,14
prefix5,173,5,31,31,31,31,31,31,current,22,0,0,28,29,27,31,23
full,174,80,188,188,188,188,188,188,current,150,0,0,185,186,184,188,245
prefix1,174,1,16,16,16,16,16,16,current,10,0,0,13,14,12,16,8
prefix2,174,2,18,18,18,18,18,18,current,12,0,0,16,17,15,18,11
prefix3,174,3,22,22,22,22,22,22,current,15,0,0,19,21,18,22,14
prefix5,174,5,27,27,27,27,27,27,current,19,0,0,24,26,23,27,20
prefix10,174,10,37,37,37,37,37,37,current,27,0,0,34,35,33,37,35
full,175,27,64,64,64,64,64,64,current,49,0,0,61,62,60,64,85
prefix1,175,1,14,14,14,14,14,14,current,9,0,0,12,13,11,14,7
prefix2,175,2,19,19,19,19,19,19,current,13,0,0,17,18,16,19,10
prefix3,175,3,21,21,21,21,21,21,current,14,0,0,18,19,17,21,13
prefix5,175,5,24,24,24,24,24,24,current,17,0,0,22,23,20,24,19
prefix10,175,10,33,33,33,33,33,33,current,24,0,0,30,32,29,33,34
full,176,500,1394,1394,1394,1394,1394,1394,current,1131,0,0,1391,1392,1389,1394,1512
prefix1,176,1,16,16,16,16,16,16,current,10,0,0,13,14,12,16,8
prefix2,176,2,21,21,21,21,21,21,current,14,0,0,18,19,17,21,11
prefix3,176,3,23,23,23,23,23,23,current,16,0,0,21,22,19,23,14
prefix5,176,5,28,28,28,28,28,28,current,20,0,0,26,27,24,28,20
prefix10,176,10,42,42,42,42,42,42,current,31,0,0,39,40,38,42,35
full,177,12,61,61,61,61,61,61,current,47,0,0,59,60,57,61,56
prefix1,177,1,16,16,16,16,16,16,current,10,0,0,13,14,12,16,8
prefix2,177,2,23,23,23,23,23,23,current,16,0,0,21,22,19,23,13
prefix3,177,3,27,27,27,27,27,27,current,19,0,0,24,26,23,27,18
prefix5,177,5,35,35,35,35,35,35,current,26,0,0,33,34,32,35,27
prefix10,177,10,54,54,54,54,54,54,current,41,0,0,51,53,50,54,50
full,178,7,42,42,42,42,42,42,current,31,0,0,39,40,38,42,34
prefix1,178,1,16,16,16,16,16,16,current,10,0,0,13,14,12,16,8
prefix2,178,2,22,22,22,22,22,22,current,15,0,0,19,21,18,22,12
prefix3,178,3,26,26,26,26,26,26,current,18,0,0,23,24,22,26,16
prefix5,178,5,34,34,34,34,34,34,current,25,0,0,32,33,30,34,26
full,179,11,42,42,42,42,42,42,current,31,0,0,39,40,38,42,38
prefix1,179,1,14,14,14,14,14,14,current,9,0,0,12,13,11,14,7
prefix2,179,2,19,19,19,19,19,19,current,13,0,0,17,18,16,19,10
prefix3,179,3,21,21,21,21,21,21,current,14,0,0,18,19,17,21,13
prefix5,179,5,23,23,23,23,23,23,current,16,0,0,21,22,19,23,19
prefix10,179,10,34,34,34,34,34,34,current,25,0,0,32,33,30,34,34
full,180,58,222,222,222,222,222,222,current,178,0,0,220,221,218,222,232
prefix1,180,1,15,15,15,15,15,15,current,9,0,0,12,13,11,15,7
prefix2,180,2,19,19,19,19,19,19,current,13,0,0,17,18,16,19,10
prefix3,180,3,24,24,24,24,24,24,current,17,0,0,22,23,20,24,14
prefix5,180,5,33,33,33,33,33,33,current,24,0,0,30,32,29,33,23
prefix10,180,10,50,50,50,50,50,50,current,38,0,0,48,49,46,50,43
full,181,51,198,198,198,198,198,198,current,158,0,0,195,196,194,198,203
prefix1,181,1,14,14,14,14,14,14,current,9,0,0,12,13,11,14,7
prefix2,181,2,20,20,20,20,20,20,current,14,0,0,18,19,17,20,11
prefix3,181,3,24,24,24,24,24,24,current,17,0,0,22,23,21,24,15
prefix5,181,5,31,31,31,31,31,31,current,23,0,0,29,30,28,31,24
prefix10,181,10,50,50,50,50,50,50,current,38,0,0,47,49,46,50,44
full,182,23,93,93,93,93,93,93,current,73,0,0,91,92,89,93,88
prefix1,182,1,15,15,15,15,15,15,current,9,0,0,12,13,11,15,7
prefix2,182,2,21,21,21,21,21,21,current,14,0,0,18,19,17,21,11
prefix3,182,3,24,24,24,24,24,24,current,17,0,0,22,23,21,24,15
prefix5,182,5,33,33,33,33,33,33,current,24,0,0,30,32,29,33,24
prefix10,182,10,50,50,50,50,50,50,current,38,0,0,48,49,47,50,42
full,183,30,88,88,88,88,88,88,current,68,0,1,85,86,83,88,94
prefix1,183,1,14,14,14,14,14,14,current,9,0,0,12,13,11,14,7
prefix2,183,2,19,19,19,19,19,19,current,13,0,0,17,18,16,19,10
prefix3,183,3,21,21,21,21,21,21,current,14,0,0,18,19,17,21,13
prefix5,183,5,27,27,27,27,27,27,current,19,0,0,24,25,23,27,19
prefix10,183,10,39,39,39,39,39,39,current,29,0,0,37,38,35,39,34
full,184,27,74,74,74,74,74,74,current,57,0,0,71,72,70,74,85
prefix1,184,1,15,15,15,15,15,15,current,9,0,0,12,13,11,15,7
prefix2,184,2,18,18,18,18,18,18,current,12,0,0,16,17,14,18,10
