set,index,points,current,tiny11_DIRECT_NEW_WIRE,currentPlusTiny11_NEW_WIRE
prefix3,60,3,22,21,21
prefix5,60,5,26,24,24
prefix10,60,10,34,33,33
prefix1,61,1,14,13,13
prefix2,61,2,19,18,18
prefix3,61,3,21,19,19
prefix5,61,5,26,24,24
prefix10,61,10,35,34,34
prefix1,62,1,14,13,13
prefix2,62,2,19,18,18
prefix3,62,3,21,19,19
prefix5,62,5,24,23,23
prefix10,62,10,33,31,31
prefix1,63,1,14,13,13
prefix2,63,2,19,18,18
prefix3,63,3,21,19,19
prefix5,63,5,24,23,23
prefix10,63,10,34,33,33
prefix1,64,1,14,13,13
prefix2,64,2,19,18,18
prefix3,64,3,21,19,19
prefix5,64,5,23,22,22
prefix10,64,10,38,36,36
prefix1,65,1,14,13,13
prefix2,65,2,18,17,17
prefix3,65,3,19,18,18
prefix5,65,5,22,21,21
prefix10,65,10,33,32,32
prefix1,66,1,14,13,13
prefix2,66,2,19,18,18
prefix3,66,3,21,19,19
prefix5,66,5,24,23,23
prefix10,66,10,35,34,34
prefix1,67,1,16,14,14
prefix2,67,2,21,19,19
prefix3,67,3,22,21,21
prefix5,67,5,26,24,24
prefix10,67,10,37,35,35
full_tiny,68,8,40,39,39
prefix1,68,1,14,13,13
prefix2,68,2,20,19,19
prefix3,68,3,24,23,23
prefix5,68,5,31,29,29
full_tiny,69,6,29,28,28
prefix1,69,1,16,14,14
prefix2,69,2,21,19,19
prefix3,69,3,23,22,22
prefix5,69,5,27,25,25
prefix1,70,1,15,13,13
prefix2,70,2,19,18,18
prefix3,70,3,22,20,20
prefix5,70,5,27,25,25
prefix10,70,10,39,38,38
prefix1,71,1,14,13,13
prefix2,71,2,21,19,19
prefix3,71,3,23,22,22
prefix5,71,5,28,27,27
prefix10,71,10,40,39,39
prefix1,72,1,15,13,13
prefix2,72,2,19,18,18
prefix3,72,3,21,19,19
prefix5,72,5,24,23,23
prefix10,72,10,34,33,33
prefix1,73,1,15,13,13
prefix2,73,2,21,19,19
prefix3,73,3,24,23,23
prefix5,73,5,30,29,29
prefix10,73,10,48,46,46
prefix1,74,1,15,13,13
prefix2,74,2,18,17,17
prefix3,74,3,21,19,19
prefix5,74,5,24,23,23
prefix10,74,10,35,34,34
prefix1,75,1,15,13,13
prefix2,75,2,19,18,18
prefix3,75,3,21,19,19
prefix5,75,5,24,23,23
prefix10,75,10,33,32,32
full_tiny,76,9,34,33,33
prefix1,76,1,16,14,14
prefix2,76,2,19,18,18
prefix3,76,3,22,20,20
prefix5,76,5,25,24,24
full_tiny,77,3,22,20,20
prefix1,77,1,14,13,13
prefix2,77,2,19,18,18
